occupation_code	occupation_name	display_level	selectable	sort_sequence
000000	All Occupations	0	T	0
110000	Management Occupations	0	T	1
111000	Top Executives	1	T	2
111011	Chief Executives	3	T	3
111021	General and Operations Managers	3	T	4
111031	Legislators	3	T	5
112000	Advertising, Marketing, Promotions, Public Relations, and Sales Managers	1	T	6
112011	Advertising and Promotions Managers	3	T	7
112020	Marketing and Sales Managers	2	T	8
112021	Marketing Managers	3	T	9
112022	Sales Managers	3	T	10
112030	Public Relations and Fundraising Managers	2	T	11
112032	Public Relations Managers	3	T	12
112033	Fundraising Managers	3	T	13
113000	Operations Specialties Managers	1	T	14
113010	Administrative Services and Facilities Managers	2	T	15
113012	Administrative Services Managers	3	T	16
113013	Facilities Managers	3	T	17
113021	Computer and Information Systems Managers	3	T	18
113031	Financial Managers	3	T	19
113051	Industrial Production Managers	3	T	20
113061	Purchasing Managers	3	T	21
113071	Transportation, Storage, and Distribution Managers	3	T	22
113111	Compensation and Benefits Managers	3	T	23
113121	Human Resources Managers	3	T	24
113131	Training and Development Managers	3	T	25
119000	Other Management Occupations	1	T	26
119013	Farmers, Ranchers, and Other Agricultural Managers	3	T	27
119021	Construction Managers	3	T	28
119030	Education and Childcare Administrators	2	T	29
119031	Education and Childcare Administrators, Preschool and Daycare	3	T	30
119032	Education Administrators, Kindergarten through Secondary	3	T	31
119033	Education Administrators, Postsecondary	3	T	32
119039	Education Administrators, All Other	3	T	33
119041	Architectural and Engineering Managers	3	T	34
119051	Food Service Managers	3	T	35
119070	Entertainment and Recreation Managers	2	T	36
119071	Gambling Managers	3	T	37
119072	Entertainment and Recreation Managers, Except Gambling	3	T	38
119081	Lodging Managers	3	T	39
119111	Medical and Health Services Managers	3	T	40
119121	Natural Sciences Managers	3	T	41
119131	Postmasters and Mail Superintendents	3	T	42
119141	Property, Real Estate, and Community Association Managers	3	T	43
119151	Social and Community Service Managers	3	T	44
119161	Emergency Management Directors	3	T	45
119170	Personal Service Managers	2	T	46
119171	Funeral Home Managers	3	T	47
119179	Personal Service Managers, All Other	3	T	48
119199	Managers, All Other	3	T	49
130000	Business and Financial Operations Occupations	0	T	50
131000	Business Operations Specialists	1	T	51
131011	Agents and Business Managers of Artists, Performers, and Athletes	3	T	52
131020	Buyers and Purchasing Agents	2	T	53
131030	Claims Adjusters, Appraisers, Examiners, and Investigators	2	T	54
131031	Claims Adjusters, Examiners, and Investigators	3	T	55
131032	Insurance Appraisers, Auto Damage	3	T	56
131041	Compliance Officers	3	T	57
131051	Cost Estimators	3	T	58
131070	Human Resources Workers	2	T	59
131071	Human Resources Specialists	3	T	60
131074	Farm Labor Contractors	3	T	61
131075	Labor Relations Specialists	3	T	62
131080	Logisticians and Project Management Specialists	2	T	63
131081	Logisticians	3	T	64
131082	Project Management Specialists	3	T	65
131111	Management Analysts	3	T	66
131121	Meeting, Convention, and Event Planners	3	T	67
131131	Fundraisers	3	T	68
131141	Compensation, Benefits, and Job Analysis Specialists	3	T	69
131151	Training and Development Specialists	3	T	70
131161	Market Research Analysts and Marketing Specialists	3	T	71
131199	Business Operations Specialists, All Other	3	T	72
132000	Financial Specialists	1	T	73
132011	Accountants and Auditors	3	T	74
132020	Property Appraisers and Assessors	2	T	75
132031	Budget Analysts	3	T	76
132041	Credit Analysts	3	T	77
132050	Financial Analysts and Advisors	2	T	78
132051	Financial and Investment Analysts	3	T	79
132052	Personal Financial Advisors	3	T	80
132053	Insurance Underwriters	3	T	81
132054	Financial Risk Specialists	3	T	82
132061	Financial Examiners	3	T	83
132070	Credit Counselors and Loan Officers	2	T	84
132071	Credit Counselors	3	T	85
132072	Loan Officers	3	T	86
132080	Tax Examiners, Collectors and Preparers, and Revenue Agents	2	T	87
132081	Tax Examiners and Collectors, and Revenue Agents	3	T	88
132082	Tax Preparers	3	T	89
132099	Financial Specialists, All Other	3	T	90
150000	Computer and Mathematical Occupations	0	T	91
151200	Computer Occupations	1	T	92
151210	Computer and Information Analysts	2	T	93
151211	Computer Systems Analysts	3	T	94
151212	Information Security Analysts	3	T	95
151221	Computer and Information Research Scientists	3	T	96
151230	Computer Support Specialists	2	T	97
151231	Computer Network Support Specialists	3	T	98
151232	Computer User Support Specialists	3	T	99
151240	Database and Network Administrators and Architects	2	T	100
151241	Computer Network Architects	3	T	101
151242	Database Administrators	3	T	102
151243	Database Architects	3	T	103
151244	Network and Computer Systems Administrators	3	T	104
151250	Software and Web Developers, Programmers, and Testers	2	T	105
151251	Computer Programmers	3	T	106
151252	Software Developers	3	T	107
151253	Software Quality Assurance Analysts and Testers	3	T	108
151254	Web Developers	3	T	109
151255	Web and Digital Interface Designers	3	T	110
151299	Computer Occupations, All Other	3	T	111
152000	Mathematical Science Occupations	1	T	112
152011	Actuaries	3	T	113
152021	Mathematicians	3	T	114
152031	Operations Research Analysts	3	T	115
152041	Statisticians	3	T	116
152051	Data Scientists	3	T	118
152099	Mathematical Science Occupations, All Other	3	T	119
170000	Architecture and Engineering Occupations	0	T	120
171000	Architects, Surveyors, and Cartographers	1	T	121
171010	Architects, Except Naval	2	T	122
171011	Architects, Except Landscape and Naval	3	T	123
171012	Landscape Architects	3	T	124
171020	Surveyors, Cartographers, and Photogrammetrists	2	T	125
171021	Cartographers and Photogrammetrists	3	T	126
171022	Surveyors	3	T	127
172000	Engineers	1	T	128
172011	Aerospace Engineers	3	T	129
172021	Agricultural Engineers	3	T	130
172031	Bioengineers and Biomedical Engineers	3	T	131
172041	Chemical Engineers	3	T	132
172051	Civil Engineers	3	T	133
172061	Computer Hardware Engineers	3	T	134
172070	Electrical and Electronics Engineers	2	T	135
172071	Electrical Engineers	3	T	136
172072	Electronics Engineers, Except Computer	3	T	137
172081	Environmental Engineers	3	T	138
172110	Industrial Engineers, Including Health and Safety	2	T	139
172111	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	3	T	140
172112	Industrial Engineers	3	T	141
172121	Marine Engineers and Naval Architects	3	T	142
172131	Materials Engineers	3	T	143
172141	Mechanical Engineers	3	T	144
172151	Mining and Geological Engineers, Including Mining Safety Engineers	3	T	145
172161	Nuclear Engineers	3	T	146
172171	Petroleum Engineers	3	T	147
172199	Engineers, All Other	3	T	148
173000	Drafters, Engineering Technicians, and Mapping Technicians	1	T	149
173010	Drafters	2	T	150
173011	Architectural and Civil Drafters	3	T	151
173012	Electrical and Electronics Drafters	3	T	152
173013	Mechanical Drafters	3	T	153
173019	Drafters, All Other	3	T	154
173020	Engineering Technologists and Technicians, Except Drafters	2	T	155
173021	Aerospace Engineering and Operations Technologists and Technicians	3	T	156
173022	Civil Engineering Technologists and Technicians	3	T	157
173023	Electrical and Electronic Engineering Technologists and Technicians	3	T	158
173024	Electro-Mechanical and Mechatronics Technologists and Technicians	3	T	159
173025	Environmental Engineering Technologists and Technicians	3	T	160
173026	Industrial Engineering Technologists and Technicians	3	T	161
173027	Mechanical Engineering Technologists and Technicians	3	T	162
173028	Calibration Technologists and Technicians	3	T	163
173029	Engineering Technologists and Technicians, Except Drafters, All Other	3	T	164
173031	Surveying and Mapping Technicians	3	T	165
190000	Life, Physical, and Social Science Occupations	0	T	166
191000	Life Scientists	1	T	167
191010	Agricultural and Food Scientists	2	T	168
191011	Animal Scientists	3	T	169
191012	Food Scientists and Technologists	3	T	170
191013	Soil and Plant Scientists	3	T	171
191020	Biological Scientists	2	T	172
191021	Biochemists and Biophysicists	3	T	173
191022	Microbiologists	3	T	174
191023	Zoologists and Wildlife Biologists	3	T	175
191029	Biological Scientists, All Other	3	T	176
191030	Conservation Scientists and Foresters	2	T	177
191031	Conservation Scientists	3	T	178
191032	Foresters	3	T	179
191040	Medical Scientists	2	T	180
191041	Epidemiologists	3	T	181
191042	Medical Scientists, Except Epidemiologists	3	T	182
191099	Life Scientists, All Other	3	T	183
192000	Physical Scientists	1	T	184
192010	Astronomers and Physicists	2	T	185
192011	Astronomers	3	T	186
192012	Physicists	3	T	187
192021	Atmospheric and Space Scientists	3	T	188
192030	Chemists and Materials Scientists	2	T	189
192031	Chemists	3	T	190
192032	Materials Scientists	3	T	191
192040	Environmental Scientists and Geoscientists	2	T	192
192041	Environmental Scientists and Specialists, Including Health	3	T	193
192042	Geoscientists, Except Hydrologists and Geographers	3	T	194
192043	Hydrologists	3	T	195
192099	Physical Scientists, All Other	3	T	196
193000	Social Scientists and Related Workers	1	T	197
193011	Economists	3	T	198
193022	Survey Researchers	3	T	199
193030	Psychologists	2	T	200
193032	Industrial-Organizational Psychologists	3	T	201
193033	Clinical and Counseling Psychologists	3	T	202
193034	School Psychologists	3	T	203
193039	Psychologists, All Other	3	T	204
193041	Sociologists	3	T	205
193051	Urban and Regional Planners	3	T	206
193090	Miscellaneous Social Scientists and Related Workers	2	T	207
193091	Anthropologists and Archeologists	3	T	208
193092	Geographers	3	T	209
193093	Historians	3	T	210
193094	Political Scientists	3	T	211
193099	Social Scientists and Related Workers, All Other	3	T	212
194000	Life, Physical, and Social Science Technicians	1	T	213
194010	Agricultural and Food Science Technicians	2	T	214
194012	Agricultural Technicians	3	T	215
194013	Food Science Technicians	3	T	216
194021	Biological Technicians	3	T	217
194031	Chemical Technicians	3	T	218
194040	Environmental Science and Geoscience Technicians	2	T	219
194042	Environmental Science and Protection Technicians, Including Health	3	T	220
194043	Geological Technicians, Except Hydrologic Technicians	3	T	221
194044	Hydrologic Technicians	3	T	222
194051	Nuclear Technicians	3	T	223
194061	Social Science Research Assistants	3	T	224
194071	Forest and Conservation Technicians	3	T	225
194090	Miscellaneous Life, Physical, and Social Science Technicians	2	T	226
194092	Forensic Science Technicians	3	T	227
194099	Life, Physical, and Social Science Technicians, All Other	3	T	228
195010	Occupational Health and Safety Specialists and Technicians	2	T	230
195011	Occupational Health and Safety Specialists	3	T	231
195012	Occupational Health and Safety Technicians	3	T	232
210000	Community and Social Service Occupations	0	T	233
211000	Counselors, Social Workers, and Other Community and Social Service Specialists	1	T	234
211010	Counselors	2	T	235
211012	Educational, Guidance, and Career Counselors and Advisors	3	T	236
211013	Marriage and Family Therapists	3	T	237
211015	Rehabilitation Counselors	3	T	238
211018	Substance abuse, behavioral disorder, and mental health counselors	3	T	239
211019	Counselors, All Other	3	T	240
211020	Social Workers	2	T	241
211021	Child, Family, and School Social Workers	3	T	242
211022	Healthcare Social Workers	3	T	243
211023	Mental Health and Substance Abuse Social Workers	3	T	244
211029	Social Workers, All Other	3	T	245
211090	Miscellaneous Community and Social Service Specialists	2	T	246
211091	Health Education Specialists	3	T	247
211092	Probation Officers and Correctional Treatment Specialists	3	T	248
211093	Social and Human Service Assistants	3	T	249
211094	Community Health Workers	3	T	250
211099	Community and Social Service Specialists, All Other	3	T	251
212000	Religious Workers	1	T	252
212011	Clergy	3	T	253
212021	Directors, Religious Activities and Education	3	T	254
212099	Religious Workers, All Other	3	T	255
230000	Legal Occupations	0	T	256
231000	Lawyers, Judges, and Related Workers	1	T	257
231010	Lawyers and Judicial Law Clerks	2	T	258
231011	Lawyers	3	T	259
231012	Judicial Law Clerks	3	T	260
231020	Judges, Magistrates, and Other Judicial Workers	2	T	261
231021	Administrative Law Judges, Adjudicators, and Hearing Officers	3	T	262
231022	Arbitrators, Mediators, and Conciliators	3	T	263
231023	Judges, Magistrate Judges, and Magistrates	3	T	264
232000	Legal Support Workers	1	T	265
232011	Paralegals and Legal Assistants	3	T	266
232090	Miscellaneous Legal Support Workers	2	T	267
232093	Title Examiners, Abstractors, and Searchers	3	T	268
